,nombre,seguidores,foto,popularidad,generos
234,Camilo Sesto,3442709,https://i.scdn.co/image/6727cf7e3163bd702add0ba3a7b4083ae956fe98,68,bolero
234,Camilo Sesto,3442709,https://i.scdn.co/image/6727cf7e3163bd702add0ba3a7b4083ae956fe98,68,latin pop
234,Camilo Sesto,3442709,https://i.scdn.co/image/6727cf7e3163bd702add0ba3a7b4083ae956fe98,68,ranchera
235,King Africa,18813,https://i.scdn.co/image/ab6761610000e5ebaabb411dd2d09c0f6f7c5ed4,46,
236,Bakermat,373207,https://i.scdn.co/image/ab6761610000e5eb2e5cc922d64a723a176508e8,67,minimal tech house
236,Bakermat,373207,https://i.scdn.co/image/ab6761610000e5eb2e5cc922d64a723a176508e8,67,tropical house
237,Coolio,828163,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,72,g funk
237,Coolio,828163,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,72,gangster rap
237,Coolio,828163,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,72,hip hop
237,Coolio,828163,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,72,rap
237,Coolio,828163,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d,72,west coast rap
238,L.V.,16366,https://i.scdn.co/image/ab67616d0000b2735f4a7a3024b630be83448e94,71,
239,Darius,152343,https://i.scdn.co/image/ab6761610000e5ebbd4a365af478a264bbb021f3,58,filter house
239,Darius,152343,https://i.scdn.co/image/ab6761610000e5ebbd4a365af478a264bbb021f3,58,indie soul
239,Darius,152343,https://i.scdn.co/image/ab6761610000e5ebbd4a365af478a264bbb021f3,58,jazz house
239,Darius,152343,https://i.scdn.co/image/ab6761610000e5ebbd4a365af478a264bbb021f3,58,nu disco
240,Moullinex,49699,https://i.scdn.co/image/ab6761610000e5eb130f71989c488a55adb5c9d6,40,filter house
240,Moullinex,49699,https://i.scdn.co/image/ab6761610000e5eb130f71989c488a55adb5c9d6,40,nu disco
241,Ekstra Bonus,208,https://i.scdn.co/image/ab6761610000e5eb63203e4cf9b51abdd3971eff,15,
242,Satin Jackets,108647,https://i.scdn.co/image/ab6761610000e5ebe7f144afb0276f511ded5a03,59,indie soul
242,Satin Jackets,108647,https://i.scdn.co/image/ab6761610000e5ebe7f144afb0276f511ded5a03,59,nu disco
242,Satin Jackets,108647,https://i.scdn.co/image/ab6761610000e5ebe7f144afb0276f511ded5a03,59,tropical house
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,downtempo
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,electronica
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,indie dream pop
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,indie soul
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,new french touch
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,vapor soul
243,Catching Flies,71227,https://i.scdn.co/image/ab6761610000e5eb52489313435c3d1bdb618518,60,vapor twitch
244,Funkmammoth,16702,https://i.scdn.co/image/ab6761610000e5eb479f7b66719d079fa08ed8a3,43,chillhop
245,AYYBO,15350,https://i.scdn.co/image/ab6761610000e5ebf98f40ed207e45b2db467098,53,
246,Riordan,19531,https://i.scdn.co/image/ab6761610000e5ebf4e4175ceb0fb72b5dfe8965,42,
247,Jungle,838134,https://i.scdn.co/image/ab6761610000e5eb19714fd9b0052540e4e89488,67,uk contemporary r&b
248,Myd,84560,https://i.scdn.co/image/ab6761610000e5eb481028922e4822b7259aea78,57,filter house
248,Myd,84560,https://i.scdn.co/image/ab6761610000e5eb481028922e4822b7259aea78,57,french indie pop
248,Myd,84560,https://i.scdn.co/image/ab6761610000e5eb481028922e4822b7259aea78,57,french indietronica
248,Myd,84560,https://i.scdn.co/image/ab6761610000e5eb481028922e4822b7259aea78,57,new french touch
249,Picard Brothers,2916,https://i.scdn.co/image/ab6761610000e5eb4483ee8ff4974e3e3cdc28f8,40,
250,Felix Mendelssohn,465981,https://i.scdn.co/image/32bf53aa73dbb81c615a91324efea0bcfff4b440,64,classical
250,Felix Mendelssohn,465981,https://i.scdn.co/image/32bf53aa73dbb81c615a91324efea0bcfff4b440,64,early romantic era
250,Felix Mendelssohn,465981,https://i.scdn.co/image/32bf53aa73dbb81c615a91324efea0bcfff4b440,64,german romanticism
251,MC L da Vinte,786852,https://i.scdn.co/image/ab6761610000e5ebc8e9b8e9d6b016c4ea287b1c,68,funk bh
251,MC L da Vinte,786852,https://i.scdn.co/image/ab6761610000e5ebc8e9b8e9d6b016c4ea287b1c,68,funk carioca
251,MC L da Vinte,786852,https://i.scdn.co/image/ab6761610000e5ebc8e9b8e9d6b016c4ea287b1c,68,funk mtg
